,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
218,0.5,0.9,0.08009287054790228,0.43189297311530517,0.5570300837506474
219,0.5,1.0,0.07972467666835319,0.4322153778194787,0.5878854318222593
220,0.55,0.0,0.07992216564335843,0.4058408658598577,0.09507951228416744
221,0.55,0.01,0.07967647475026648,0.405996725078509,0.09809965051531408
222,0.55,0.02,0.07944235502114341,0.40614616696052014,0.10157215013552107
223,0.55,0.03,0.07921891544649798,0.4062896320030444,0.10544243682505784
224,0.55,0.04,0.0790053643721624,0.4064275171254159,0.10966189068913151
225,0.55,0.05,0.0788009948017345,0.4065601812045107,0.11418715445593734
226,0.55,0.06,0.07860517239031904,0.4066879497878965,0.11897952880584446
227,0.55,0.07,0.07841732554994015,0.4068111191163432,0.12400444307086647
228,0.55,0.08,0.07823693722888005,0.4069299595668695,0.1292309911984388
229,0.55,0.09,0.07806353803017639,0.4070447186093867,0.13463152429942016
230,0.55,0.1,0.07789670041095577,0.40715562335436467,0.14018129232227913
231,0.55,0.2,0.07651702426316216,0.40809176004605313,0.1999798689039491
232,0.55,0.3,0.07550760290990724,0.408799454799689,0.2603960117937768
233,0.55,0.4,0.07473414517463749,0.40935581675682603,0.31683024002066945
234,0.55,0.5,0.07412147191687556,0.4098057669304326,0.36803733745762224
235,0.55,0.6,0.0736236889771713,0.4101776641262595,0.4140001520493176
236,0.55,0.7,0.07321101897703242,0.4104904470533557,0.45513226398912116
237,0.55,0.8,0.0728632316637806,0.4107573080479026,0.4919663736612391
238,0.55,0.9,0.07256607392866933,0.4109877464123778,0.5250325606033176
239,0.55,1.0,0.07230920151315877,0.4111887892910021,0.5548139669157226
240,0.6,0.0,0.07133150537224717,0.3957781552004881,0.0904973956432792
241,0.6,0.01,0.07116144239379917,0.39584941322189454,0.09268396351269567
242,0.6,0.02,0.07099996740334133,0.39591776329462613,0.09536143738504851
243,0.6,0.03,0.07084636230233483,0.3959833919063732,0.09847238990054218
244,0.6,0.04,0.07069999565258968,0.39604647093603157,0.10196561895951316
